Date,Close,Adj Close,Volume
5/21/2012,34.029999,34.029999,168192700
5/22/2012,31,31,101786600
5/23/2012,32,32,73600000
5/24/2012,33.029999,33.029999,50237200
5/25/2012,31.91,31.91,37149800
5/29/2012,28.84,28.84,78063400
5/30/2012,28.190001,28.190001,57267900
5/31/2012,29.6,29.6,111639200
6/1/2012,27.719999,27.719999,41855500
6/4/2012,26.9,26.9,35230300
6/5/2012,25.870001,25.870001,42473400
6/6/2012,26.809999,26.809999,61489200
6/7/2012,26.309999,26.309999,26159500
6/8/2012,27.1,27.1,38034000
6/11/2012,27.01,27.01,28219600
6/12/2012,27.4,27.4,15816800
6/13/2012,27.27,27.27,17102800
6/14/2012,28.290001,28.290001,16855000
6/15/2012,30.01,30.01,43563800
6/18/2012,31.41,31.41,42978900
6/19/2012,31.91,31.91,30849000
6/20/2012,31.6,31.6,15553600
6/21/2012,31.84,31.84,21875300
6/22/2012,33.049999,33.049999,74834000
6/25/2012,32.060001,32.060001,24352900
6/26/2012,33.099998,33.099998,24858700
6/27/2012,32.23,32.23,28568000
6/28/2012,31.360001,31.360001,17713300
6/29/2012,31.1,31.1,19526900
7/2/2012,30.77,30.77,14122000
7/3/2012,31.200001,31.200001,8763600
7/5/2012,31.469999,31.469999,10032100
7/6/2012,31.73,31.73,10945600
7/9/2012,32.169998,32.169998,17785200
7/10/2012,31.469999,31.469999,14269500
7/11/2012,30.969999,30.969999,13030300
7/12/2012,30.809999,30.809999,11300700
7/13/2012,30.719999,30.719999,8108300
7/16/2012,28.25,28.25,24672100
7/17/2012,28.09,28.09,30438600
7/18/2012,29.110001,29.110001,16841800
7/19/2012,29,29,13685100
7/20/2012,28.76,28.76,11869100
7/23/2012,28.75,28.75,12390700
7/24/2012,28.450001,28.450001,11539800
7/25/2012,29.34,29.34,17230200
7/26/2012,26.85,26.85,64597400
7/27/2012,23.709999,23.709999,123102300
7/30/2012,23.15,23.15,29285900
7/31/2012,21.709999,21.709999,56179400
8/1/2012,20.879999,20.879999,44604400
8/2/2012,20.040001,20.040001,56374500
8/3/2012,21.09,21.09,80647000
8/6/2012,21.92,21.92,27778900
8/7/2012,20.719999,20.719999,36782900
