Date,Close,Adj Close,Volume
2/23/2011,4.366,4.366,8028000
2/24/2011,4.506,4.506,5276500
2/25/2011,4.722,4.722,6731500
2/28/2011,4.778,4.778,5256000
3/1/2011,4.788,4.788,5532000
3/2/2011,4.804,4.804,3316500
3/3/2011,4.872,4.872,3201000
3/4/2011,4.99,4.99,7900500
3/7/2011,4.988,4.988,10168000
3/8/2011,4.932,4.932,6999500
3/9/2011,4.944,4.944,4624000
3/10/2011,4.802,4.802,5085000
3/11/2011,4.814,4.814,4654000
3/14/2011,4.65,4.65,5830000
3/15/2011,4.59,4.59,6594000
3/16/2011,4.564,4.564,5848500
3/17/2011,4.562,4.562,4613000
3/18/2011,4.592,4.592,3439500
3/21/2011,4.546,4.546,2058500
3/22/2011,4.438,4.438,2914500
3/23/2011,4.442,4.442,2114000
3/24/2011,4.466,4.466,2311000
3/25/2011,4.55,4.55,2840000
3/28/2011,4.65,4.65,5290500
3/29/2011,4.784,4.784,3777000
3/30/2011,4.742,4.742,6116500
3/31/2011,5.55,5.55,57589000
4/1/2011,5.332,5.332,14324000
4/4/2011,5.166,5.166,13046500
4/5/2011,5.34,5.34,15904500
4/6/2011,5.298,5.298,6441500
4/7/2011,5.448,5.448,14051500
4/8/2011,5.298,5.298,9732000
4/11/2011,5.054,5.054,6847000
4/12/2011,4.93,4.93,6787000
4/13/2011,4.986,4.986,6057500
4/14/2011,5.028,5.028,4917000
4/15/2011,5.116,5.116,4717500
4/18/2011,5.006,5.006,5169500
4/19/2011,5.032,5.032,2743500
4/20/2011,5.15,5.15,4186000
4/21/2011,5.348,5.348,6930500
4/25/2011,5.278,5.278,4004500
4/26/2011,5.386,5.386,7000000
4/27/2011,5.416,5.416,4984500
4/28/2011,5.532,5.532,8000000
4/29/2011,5.52,5.52,3630000
5/2/2011,5.49,5.49,3923000
5/3/2011,5.374,5.374,4569500
5/4/2011,5.338,5.338,5222500
5/5/2011,5.288,5.288,6092500
5/6/2011,5.424,5.424,4908500
5/9/2011,5.582,5.582,4582000
5/10/2011,5.666,5.666,7676500
5/11/2011,5.414,5.414,4812500
5/12/2011,5.534,5.534,3140000
5/13/2011,5.51,5.51,3307500
5/16/2011,5.32,5.32,3778500
5/17/2011,5.192,5.192,6171000
5/18/2011,5.27,5.27,3647500
5/19/2011,5.64,5.64,13275500
5/20/2011,5.594,5.594,4212500
5/23/2011,5.364,5.364,4318000
5/24/2011,5.344,5.344,3068500
5/25/2011,5.796,5.796,23465500
5/26/2011,5.896,5.896,16684500
5/27/2011,5.91,5.91,8435500
5/31/2011,6.028,6.028,16452500
6/1/2011,5.704,5.704,7649500
6/2/2011,5.752,5.752,4931500
6/3/2011,6.026,6.026,31046000
6/6/2011,5.74,5.74,11655500
6/7/2011,5.674,5.674,6110500
6/8/2011,5.424,5.424,8479500
6/9/2011,5.524,5.524,8016000
6/10/2011,5.572,5.572,7833000
6/13/2011,5.686,5.686,8567000
6/14/2011,5.72,5.72,7867000
6/15/2011,5.464,5.464,6725000
6/16/2011,5.3,5.3,9211000
6/17/2011,5.3,5.3,8570000
6/20/2011,5.202,5.202,7689000
6/21/2011,5.506,5.506,7480000
6/22/2011,5.442,5.442,7378000
6/23/2011,5.542,5.542,5850000
6/24/2011,5.514,5.514,18042500
6/27/2011,5.492,5.492,9047000
6/28/2011,5.622,5.622,4446000
6/29/2011,5.658,5.658,7309000
6/30/2011,5.826,5.826,4733500
7/1/2011,5.804,5.804,4274500
7/5/2011,5.828,5.828,4980000
7/6/2011,5.792,5.792,4634500
7/7/2011,5.946,5.946,6639500
7/8/2011,5.762,5.762,6203000
7/11/2011,5.67,5.67,4879000
7/12/2011,5.634,5.634,5227000
7/13/2011,5.728,5.728,5330000
7/14/2011,5.522,5.522,5795000
7/15/2011,5.516,5.516,3545000
7/18/2011,5.446,5.446,4259500
7/19/2011,5.578,5.578,5130500
7/20/2011,5.738,5.738,15241500
7/21/2011,5.74,5.74,5057500
7/22/2011,5.858,5.858,2917500
7/25/2011,5.698,5.698,3366500
7/26/2011,5.6,5.6,3803000
7/27/2011,5.528,5.528,4792500
7/28/2011,5.634,5.634,4693500
7/29/2011,5.634,5.634,4741000
8/1/2011,5.754,5.754,5824500
8/2/2011,5.468,5.468,7747000
8/3/2011,5.44,5.44,8972500
8/4/2011,4.95,4.95,15322500
8/5/2011,4.848,4.848,9822000
8/8/2011,4.728,4.728,13042500
8/9/2011,5.012,5.012,6667000
8/10/2011,4.764,4.764,7821000
8/11/2011,5.06,5.06,4182500
8/12/2011,5.262,5.262,5045500
8/15/2011,5.246,5.246,3693000
8/16/2011,5.22,5.22,2688500
8/17/2011,5.166,5.166,3218500
8/18/2011,4.852,4.852,5283000
8/19/2011,4.46,4.46,6876500
8/22/2011,4.39,4.39,4930500
8/23/2011,4.592,4.592,4345000
8/24/2011,4.774,4.774,3421500
8/25/2011,4.622,4.622,3399000
8/26/2011,4.746,4.746,3809000
8/29/2011,4.942,4.942,4017000
8/30/2011,4.926,4.926,1831000
8/31/2011,4.948,4.948,4119000
9/1/2011,4.8,4.8,4240500
9/2/2011,4.614,4.614,3849500
9/6/2011,4.588,4.588,4049000
9/7/2011,4.768,4.768,2296000
9/8/2011,4.722,4.722,2528500
9/9/2011,4.594,4.594,3346500
9/12/2011,4.576,4.576,2833000
9/13/2011,4.816,4.816,3632500
9/14/2011,4.868,4.868,4154000
9/15/2011,4.964,4.964,2813000
9/16/2011,5.16,5.16,7085500
9/19/2011,5.154,5.154,5787000
9/20/2011,5.202,5.202,5902000
9/21/2011,5.17,5.17,4938000
9/22/2011,5.126,5.126,3879000
9/23/2011,5.276,5.276,5782000
9/26/2011,5.104,5.104,4674000
9/27/2011,5.238,5.238,3372500
9/28/2011,4.918,4.918,3616500
9/29/2011,4.824,4.824,4648000
9/30/2011,4.878,4.878,6680500
10/3/2011,4.746,4.746,5116000
10/4/2011,4.732,4.732,6001500
10/5/2011,5.074,5.074,6147500
10/6/2011,5.392,5.392,8845500
10/7/2011,5.398,5.398,6558000
10/10/2011,5.576,5.576,4617500
10/11/2011,5.522,5.522,2878500
10/12/2011,5.56,5.56,5617000
10/13/2011,5.588,5.588,5217500
10/14/2011,5.61,5.61,7002500
10/17/2011,5.484,5.484,3772500
10/18/2011,5.668,5.668,4998500
10/19/2011,5.514,5.514,3964500
10/20/2011,5.468,5.468,4998500
10/21/2011,5.606,5.606,5713000
10/24/2011,5.71,5.71,4703000
10/25/2011,5.65,5.65,3272000
10/26/2011,5.596,5.596,2552500
10/27/2011,5.752,5.752,4347000
10/28/2011,5.974,5.974,6320000
10/31/2011,5.874,5.874,5670000
11/1/2011,5.776,5.776,3176000
11/2/2011,5.742,5.742,4376500
11/3/2011,6.492,6.492,12548500
11/4/2011,6.462,6.462,15164500
11/7/2011,6.254,6.254,6331500
11/8/2011,6.368,6.368,5839500
11/9/2011,6.176,6.176,4768500
11/10/2011,6.266,6.266,3736500
11/11/2011,6.728,6.728,19341500
11/14/2011,6.644,6.644,6628500
11/15/2011,6.786,6.786,4455000
11/16/2011,6.988,6.988,9166000
11/17/2011,6.736,6.736,6746500
11/18/2011,6.52,6.52,4514000
11/21/2011,6.352,6.352,5158000
11/22/2011,6.414,6.414,3663000
11/23/2011,6.29,6.29,2259000
11/25/2011,6.332,6.332,1198000
11/28/2011,6.512,6.512,3406000
11/29/2011,6.35,6.35,2955500
11/30/2011,6.548,6.548,3801500
12/1/2011,6.52,6.52,5151000
12/2/2011,6.66,6.66,4014000
12/5/2011,6.884,6.884,5800500
12/6/2011,6.974,6.974,4759000
12/7/2011,6.838,6.838,3371500
12/8/2011,6.178,6.178,16529000
12/9/2011,6.208,6.208,6197500
12/12/2011,6.082,6.082,3793500
12/13/2011,5.89,5.89,4970500
12/14/2011,5.706,5.706,5819500
12/15/2011,5.724,5.724,3501500
12/16/2011,5.6,5.6,5148500
12/19/2011,5.55,5.55,4935000
12/20/2011,5.58,5.58,4216500
12/21/2011,5.514,5.514,8527500
12/22/2011,5.554,5.554,5047000
12/23/2011,5.58,5.58,2957000
12/27/2011,5.714,5.714,3887500
12/28/2011,5.702,5.702,2876000
12/29/2011,5.746,5.746,2441000
12/30/2011,5.712,5.712,1699000
1/3/2012,5.616,5.616,4640500
1/4/2012,5.542,5.542,3150500
1/5/2012,5.424,5.424,5027500
1/6/2012,5.382,5.382,4931500
1/9/2012,5.45,5.45,4485000
1/10/2012,5.524,5.524,3359000
1/11/2012,5.646,5.646,3361500
1/12/2012,5.65,5.65,3646500
1/13/2012,4.558,4.558,27502000
1/17/2012,5.32,5.32,23258000
1/18/2012,5.362,5.362,6301000
1/19/2012,5.352,5.352,6231500
