Date,Close,Adj Close,Volume
5/16/1997,1.729167,1.729167,14700000
5/19/1997,1.708333,1.708333,6106800
5/20/1997,1.635417,1.635417,5467200
5/21/1997,1.427083,1.427083,18853200
5/22/1997,1.395833,1.395833,11776800
5/23/1997,1.5,1.5,15937200
5/27/1997,1.583333,1.583333,8697600
5/28/1997,1.53125,1.53125,4574400
5/29/1997,1.505208,1.505208,3472800
5/30/1997,1.5,1.5,2594400
6/2/1997,1.510417,1.510417,591600
6/3/1997,1.479167,1.479167,1183200
6/4/1997,1.416667,1.416667,3080400
6/5/1997,1.541667,1.541667,5672400
6/6/1997,1.65625,1.65625,7807200
6/9/1997,1.6875,1.6875,2352000
6/10/1997,1.583333,1.583333,5458800
6/11/1997,1.541667,1.541667,1188000
6/12/1997,1.604167,1.604167,1632000
6/13/1997,1.583333,1.583333,693600
6/16/1997,1.572917,1.572917,913200
6/17/1997,1.505208,1.505208,4706400
6/18/1997,1.510417,1.510417,2464800
6/19/1997,1.510417,1.510417,1003200
6/20/1997,1.526042,1.526042,3387600
6/23/1997,1.5,1.5,1047600
6/24/1997,1.510417,1.510417,751200
6/25/1997,1.510417,1.510417,2106000
6/26/1997,1.510417,1.510417,3189600
6/27/1997,1.489583,1.489583,1188000
6/30/1997,1.541667,1.541667,2746800
7/1/1997,1.515625,1.515625,1292400
7/2/1997,1.588542,1.588542,3882000
7/3/1997,1.911458,1.911458,12577200
7/7/1997,2,2,8053200
7/8/1997,2.302083,2.302083,15517200
7/9/1997,2.322917,2.322917,8262000
7/10/1997,2.5625,2.5625,9051600
7/11/1997,2.291667,2.291667,10531200
7/14/1997,2.135417,2.135417,4604400
7/15/1997,2.4375,2.4375,9274800
7/16/1997,2.333333,2.333333,3024000
7/17/1997,2.21875,2.21875,3169200
7/18/1997,2.15625,2.15625,780000
7/21/1997,2.182292,2.182292,574800
7/22/1997,2.135417,2.135417,1563600
7/23/1997,2.291667,2.291667,3259200
7/24/1997,2.260417,2.260417,1216800
7/25/1997,2.229167,2.229167,620400
7/28/1997,2.322917,2.322917,2574000
7/29/1997,2.479167,2.479167,4814400
7/30/1997,2.447917,2.447917,2517600
7/31/1997,2.395833,2.395833,1454400
8/1/1997,2.416667,2.416667,3588000
8/4/1997,2.3125,2.3125,2671200
8/5/1997,2.208333,2.208333,3032400
8/6/1997,2.25,2.25,1243200
8/7/1997,2.177083,2.177083,2034000
8/8/1997,2.291667,2.291667,2211600
8/11/1997,2.328125,2.328125,1239600
8/12/1997,2.197917,2.197917,571200
8/13/1997,2.197917,2.197917,590400
8/14/1997,2.15625,2.15625,1041600
8/15/1997,2.114583,2.114583,1597200
8/18/1997,2.041667,2.041667,1784400
8/19/1997,2.166667,2.166667,1003200
8/20/1997,2.166667,2.166667,999600
8/21/1997,2.114583,2.114583,624000
8/22/1997,2.125,2.125,712800
8/25/1997,2.21875,2.21875,1126800
8/26/1997,2.34375,2.34375,2574000
8/27/1997,2.317708,2.317708,1392000
8/28/1997,2.375,2.375,1147200
8/29/1997,2.338542,2.338542,722400
9/2/1997,2.354167,2.354167,732000
9/3/1997,2.333333,2.333333,1964400
9/4/1997,2.552083,2.552083,3348000
9/5/1997,2.5,2.5,1908000
9/8/1997,3,3,5648400
9/9/1997,3.239583,3.239583,8971200
9/10/1997,3.302083,3.302083,3866400
9/11/1997,3.15625,3.15625,4262400
9/12/1997,3.6875,3.6875,3333600
9/15/1997,3.09375,3.09375,5583600
9/16/1997,3.354167,3.354167,6432000
9/17/1997,3.40625,3.40625,2607600
9/18/1997,3.291667,3.291667,2128800
9/19/1997,3.947917,3.947917,8929200
9/22/1997,4.5,4.5,16938000
9/23/1997,4.625,4.625,7682400
9/24/1997,4.375,4.375,8200800
9/25/1997,4.078125,4.078125,4968000
9/26/1997,4.166667,4.166667,2731200
9/29/1997,4.041667,4.041667,2371200
9/30/1997,4.338542,4.338542,5254800
10/1/1997,4.020833,4.020833,4999200
10/2/1997,4.010417,4.010417,1876800
10/3/1997,4.015625,4.015625,1164000
10/6/1997,4.125,4.125,2028000
10/7/1997,4.057292,4.057292,1742400
10/8/1997,4.005208,4.005208,2806800
10/9/1997,3.75,3.75,3950400
10/10/1997,3.901042,3.901042,3787200
10/13/1997,4,4,814800
10/14/1997,3.979167,3.979167,1546800
10/15/1997,3.921875,3.921875,2355600
10/16/1997,3.625,3.625,3481200
10/17/1997,3.625,3.625,2534400
10/20/1997,3.822917,3.822917,4912800
10/21/1997,4.427083,4.427083,12096000
10/22/1997,4.520833,4.520833,5208000
10/23/1997,4.5,4.5,5656800
10/24/1997,5.026042,5.026042,9492000
10/27/1997,4.270833,4.270833,6091200
10/28/1997,4.947917,4.947917,11719200
10/29/1997,5.390625,5.390625,7126800
10/30/1997,5.125,5.125,4770000
10/31/1997,5.083333,5.083333,5026800
11/3/1997,5.072917,5.072917,1999200
11/4/1997,4.958333,4.958333,2365200
11/5/1997,4.875,4.875,3093600
11/6/1997,4.661458,4.661458,2913600
11/7/1997,4.479167,4.479167,2626800
11/10/1997,4.208333,4.208333,2764800
11/11/1997,3.947917,3.947917,4312800
11/12/1997,3.770833,3.770833,8683200
11/13/1997,3.859375,3.859375,4290000
11/14/1997,4.166667,4.166667,5869200
11/17/1997,4.375,4.375,7394400
11/18/1997,4.416667,4.416667,1866000
11/19/1997,4.510417,4.510417,2534400
11/20/1997,4.583333,4.583333,5923200
11/21/1997,4.489583,4.489583,2602800
11/24/1997,4.229167,4.229167,2019600
11/25/1997,4.203125,4.203125,3304800
11/26/1997,4.260417,4.260417,1630800
11/28/1997,4.125,4.125,1603200
12/1/1997,4.270833,4.270833,2383200
12/2/1997,4.234375,4.234375,1262400
12/3/1997,4.364583,4.364583,1290000
12/4/1997,4.5,4.5,3038400
12/5/1997,4.59375,4.59375,2661600
12/8/1997,4.708333,4.708333,4766400
12/9/1997,4.6875,4.6875,1332000
12/10/1997,4.510417,4.510417,1444800
12/11/1997,4.6875,4.6875,5014800
12/12/1997,4.541667,4.541667,2672400
12/15/1997,4.583333,4.583333,1694400
12/16/1997,4.458333,4.458333,1687200
12/17/1997,4.390625,4.390625,6140400
12/18/1997,4.291667,4.291667,3204000
12/19/1997,4.5,4.5,4753200
12/22/1997,4.697917,4.697917,4352400
12/23/1997,4.625,4.625,1177200
12/24/1997,4.604167,4.604167,2336400
12/26/1997,4.520833,4.520833,487200
12/29/1997,4.75,4.75,2552400
12/30/1997,4.848958,4.848958,6285600
12/31/1997,5.020833,5.020833,4446000
1/2/1998,4.958333,4.958333,1660800
1/5/1998,4.75,4.75,3590400
1/6/1998,4.838542,4.838542,4174800
1/7/1998,4.78125,4.78125,2725200
1/8/1998,4.614583,4.614583,6015600
1/9/1998,4.260417,4.260417,6643200
1/12/1998,4.302083,4.302083,7401600
1/13/1998,4.645833,4.645833,7321200
1/14/1998,4.875,4.875,8505600
1/15/1998,4.953125,4.953125,6014400
1/16/1998,4.791667,4.791667,2563200
1/20/1998,4.953125,4.953125,5467200
1/21/1998,5.072917,5.072917,8738400
1/22/1998,5.135417,5.135417,9471600
1/23/1998,4.9375,4.9375,9118800
1/26/1998,4.8125,4.8125,4712400
1/27/1998,4.75,4.75,4104000
1/28/1998,4.770833,4.770833,5293200
1/29/1998,4.958333,4.958333,4836000
